Campeón	Detectado	Confidence	Desaturado
aceptar.png	False	0.298	False
aceptar2.png	False	0.312	False
aceptar_gozu.png	False	0.296	False
aceptar_redimensionada.png	False	0.298	False
aceptar_redimensionadas.png	False	0.298	False
aceptar_s.png	False	0.352	False
amarillo.png	True	0.999	False
amarillo_completo.png	False	0.551	False
bloqueado.png	False	0.484	False
bloqueo.png	False	0.366	False
bloqueo2.png	False	0.683	False
BloqueoLetras.png	False	0.564	False
buscador.png	False	0.527	False
buscador1.0.png	True	0.998	False
Elige_tu_campeon.png	False	0.768	False
fijar.png	False	0.703	False
PartidaEncontrada.png	False	0.289	False
selecciona_tu_campeon.png	True	1.000	False
todas las lineas.png	False	0.231	False
